Measure,Session Year,Subject,Author,Status
ABX1-20,2011 - 2012,Budget Act of 2011: Director of Finance: reductions.,Blumenfield,Senate - Died
AB-20,2013 - 2014,Obscene matter: minors.,Waldron,Chaptered
AB-20,2015 - 2016,Undocumented workers: California Agricultural Act.,Alejo,Senate - Died - Appropriations
ABX1-20,2015 - 2016,State government: elimination of vacant positions: transportation: appropriation.,Beth Gaines,Assembly - Died
ABX2-20,2015 - 2016,Medi-Cal: managed care organization tax.,Bonta,Assembly - Died - Public Health and Developmental Services
AB-20,2017 - 2018,Public employee retirement systems: divestment: Dakota Access Pipeline.,Kalra,Chaptered
AB-20,2019 - 2020,Computer science strategic implementation plan: California Computer Science Coordinator.,Berman,Assembly - Died - Appropriations
AB-20,2021 - 2022,Political Reform Act of 1974: campaign contributions: The Corporate-Free Elections Act.,Lee,Assembly - Elections
AB-21,2009 - 2010,Renewable energy resources.,Krekorian,Vetoed
ABX3-21,2009 - 2010,Corporate reorganization: built-in losses.,De Leon,Assembly - Died
ABX4-21,2009 - 2010,State contracts.,Evans,Chaptered
ABX8-21,2009 - 2010,Budget Act of 2009.,Committee on Budget,Assembly - Died
AB-21,2011 - 2012,State Budget: key liabilities.,Nestande,Assembly - Died - Budget
ABX1-21,2011 - 2012,Public health: managed care plan taxes.,Blumenfield,Chaptered
AB-21,2013 - 2014,Safe Drinking Water Small Community Emergency Grant Fund.,Alejo,Chaptered
AB-21,2015 - 2016,Medical marijuana: cultivation licenses.,Wood,Chaptered
ABX1-21,2015 - 2016,Environmental quality: highway projects.,Obernolte,Assembly - Died
AB-21,2017 - 2018,Public postsecondary education: Access to Higher Education for Every Student.,Kalra,Chaptered
AB-21,2019 - 2020,Driver’s licenses: veteran designation.,Obernolte,Assembly - Died - Appropriations
AB-21,2021 - 2022,Forestry: electrical transmission and distribution lines: clearance: penalties.,Bauer-Kahan,Assembly - Judiciary
AB-22,2009 - 2010,Computer hacking: unauthorized access: punishment.,Torres,Chaptered
ABX3-22,2009 - 2010,State budget.,Huffman,Assembly - Died
ABX4-22,2009 - 2010,State property: Orange County Fair: inventory: leases: sale and leaseback.,Evans,Chaptered
ABX8-22,2009 - 2010,Budget Act of 2009.,Committee on Budget,Assembly - Died
AB-22,2011 - 2012,Employment: credit reports.,Mendoza,Chaptered
ABX1-22,2011 - 2012,Vehicles: vehicle license fees.,Blumenfield,Assembly - Died
AB-22,2013 - 2014,Sidewalks: repairs.,Blumenfield,Assembly - Died - Local Government
AB-22,2015 - 2016,Office of Emergency Services: oil-by-rail spills: firefighters.,Rodriguez,Senate - Died - Appropriations
ABX1-22,2015 - 2016,Design-build: highways.,Patterson,Assembly - Died
AB-22,2017 - 2018,Secretary of State: storing and recording electronic media.,Bonta,Chaptered
AB-22,2019 - 2020,Housing: children and families.,Burke,Assembly - Died - Appropriations
AB-22,2021 - 2022,Childcare: preschool programs and transitional kindergarten: enrollment: funding.,McCarty,Assembly - Appropriations
AB-23,2009 - 2010,Cal-COBRA: premium assistance.,Jones,Chaptered
ABX3-23,2009 - 2010,Unemployment insurance: extended benefits.,Coto,Chaptered
ABX4-23,2009 - 2010,Oil and gas leases: state waters.,DeVore,Assembly - Died
ABX8-23,2009 - 2010,Budget Act of 2009.,Committee on Budget,Assembly - Died
AB-23,2011 - 2012,Local agency meetings: simultaneous meetings: compensation disclosure.,Smyth,Chaptered
ABX1-23,2011 - 2012,Local government finance.,Blumenfield,Assembly - Died
AB-23,2013 - 2014,State responsibility areas: fire prevention fees.,Donnelly,Assembly - Died - Appropriations
AB-23,2015 - 2016,California Global Warming Solutions Act of 2006: market-based compliance mechanisms: exemption.,Patterson,Assembly - Died - Natural Resources
ABX1-23,2015 - 2016,Transportation.,Eduardo Garcia,Assembly - Died
AB-23,2017 - 2018,Educational programs: single gender schools and classes.,Ridley-Thomas,Chaptered
AB-23,2019 - 2020,Governor’s Office of Business and Economic Development: Business Workforce Coordination Unit.,Burke,Vetoed
AB-23,2021 - 2022,Benefits: eligibility determination: inmates.,Chen,Assembly - Insurance
AB-24,2009 - 2010,California State University: feasibility study: Chula Vista.,Block,Vetoed
ABX3-24,2009 - 2010,The Healthy Families Program.,Jones,Assembly - Died
ABX4-24,2009 - 2010,Transportation finance.,Bass,Assembly - Died
ABX8-24,2009 - 2010,Budget Act of 2009.,Committee on Budget,Assembly - Died
AB-24,2011 - 2012,California Postsecondary Education Commission: feasibility study: Chula Vista.,Block,Assembly - Died - Higher Education
ABX1-24,2011 - 2012,State responsibility areas: fire protection fees.,Blumenfield,Senate - Died - Budget and Fiscal Review
AB-24,2013 - 2014,Budget Act of 2012.,Buchanan,Assembly - Died - Budget
AB-24,2015 - 2016,Transportation network companies: public safety requirements.,Nazarian,Assembly - Died - Appropriations
ABX1-24,2015 - 2016,Bay Area Transportation Commission: election of commissioners.,Levine,Assembly - Died
AB-24,2017 - 2018,Instructional programs: State Seal of Civic Engagement.,Eggman,Chaptered
AB-24,2019 - 2020,Personal income taxes: Targeted Child Tax Credit.,Burke,Assembly - Died - Appropriations
AB-24,2021 - 2022,Unemployment insurance: benefit determination deadlines.,Waldron,Assembly - Insurance
AB-25,2009 - 2010,Hazardous waste transportation: consolidated manifest.,Committee on Environmental Safety and Toxic Materials,Vetoed
ABX3-25,2009 - 2010,Medi-Cal.,Jones,Assembly - Died
ABX4-25,2009 - 2010,Surplus state funds.,Evans,Chaptered
ABX8-25,2009 - 2010,Budget Act of 2009.,Committee on Budget,Assembly - Died
AB-25,2011 - 2012,School districts: athletics: concussions and head injuries.,Hayashi,Chaptered
ABX1-25,2011 - 2012,Redevelopment.,Blumenfield,Senate - Died
AB-25,2013 - 2014,Employment: social media.,Campos,Senate - Died - Rules
AB-25,2015 - 2016,Financial aid: Cal Grant program: renewal.,Gipson,Chaptered
ABX1-25,2015 - 2016,Shuttle services: loading and unloading of passengers.,Travis Allen,Assembly - Died
AB-25,2017 - 2018,Tour buses: modified tour buses.,Nazarian,Chaptered
AB-25,2019 - 2020,California Consumer Privacy Act of 2018.,Chau,Chaptered
AB-25,2021 - 2022,Worker classification: employees and independent contractors.,Kiley,Assembly - Labor and Employment
AB-26,2009 - 2010,Public contracts: bid preferences: employee health care expenditures.,Hernandez,Assembly - Died - Appropriations
ABX3-26,2009 - 2010,Personal and corporate income taxes: deductions: illegal activities.,Charles Calderon,Assembly - Died
ABX4-26,2009 - 2010,Community redevelopment: Supplemental Educational Revenue Augmentation Fund.,Committee on Budget,Chaptered
ABX8-26,2009 - 2010,Budget Act of 2009.,Committee on Budget,Assembly - Died
AB-26,2011 - 2012,Illegal immigrants.,Donnelly,Assembly - Died - Judiciary
ABX1-26,2011 - 2012,Community redevelopment.,Blumenfield,Chaptered
AB-26,2013 - 2014,Construction: prevailing wage.,Bonilla,Chaptered
AB-26,2015 - 2016,Medical cannabis.,Jones-Sawyer,Senate - Died - Rules
ABX1-26,2015 - 2016,Transportation funding.,Frazier,Assembly - Died - Rules X2
AB-26,2017 - 2018,Child care and development: child care resource and referral programs: assistance to license-exempt child care providers.,Caballero,Assembly - In Desk Process
AB-26,2019 - 2020,Emergency ambulance employees.,Rodriguez,Assembly - Died - Labor and Employment
AB-26,2021 - 2022,Peace officers: use of force.,Holden,Assembly - Appropriations
AB-27,2009 - 2010,Arson: aggravated: punishment.,Jeffries,Chaptered
ABX3-27,2009 - 2010,Sales and use taxes.,Charles Calderon,Assembly - Died
ABX4-27,2009 - 2010,Redevelopment: Educational Revenue Augmentation Fund: transfer payments.,Evans,Assembly - Died
ABX8-27,2009 - 2010,Budget Act of 2009.,Committee on Budget,Assembly - Died
AB-27,2011 - 2012,State budget.,Gorell,Assembly - Died - Budget
ABX1-27,2011 - 2012,Voluntary Alternative Redevelopment Program.,Blumenfield,Chaptered
AB-27,2013 - 2014,Vehicles: registration: one-trip permits.,Medina,Chaptered
AB-27,2015 - 2016,Public postsecondary education: exemption from nonresident tuition.,Chávez,Senate - Died - Education
AB-27,2017 - 2018,Violent felonies: sex offenses.,Melendez,Assembly - Died - Appropriations
AB-27,2019 - 2020,Emergency Ambulance Employee Safety and Preparedness Act.,Rodriguez,Assembly - Died - Labor and Employment
AB-27,2021 - 2022,Homeless children and youths and unaccompanied youths: reporting.,Luz Rivas,Assembly - Appropriations
AB-28,2009 - 2010,Natural gas engines: water movement: emissions limitation requirements.,Jeffries,Assembly - Died - Natural Resources
ABX3-28,2009 - 2010,Corporation taxes.,Charles Calderon,Assembly - Died
ABX4-28,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
ABX8-28,2009 - 2010,Budget Act of 2009.,Committee on Budget,Assembly - Died
AB-28,2011 - 2012,Governmental reorganization.,Huber,Chaptered
ABX1-28,2011 - 2012,State Board of Equalization: administration: retailer engaged in business in this state.,Blumenfield,Chaptered
AB-28,2013 - 2014,Economic development: enterprise zones.,V. Manuel Pérez,"Assembly - Died - Jobs, Economic Development, and the Economy"
AB-28,2015 - 2016,Bicycle safety: rear lights.,Chu,Chaptered
AB-28,2017 - 2018,Department of Transportation: environmental review process: federal pilot program.,Frazier,Chaptered
AB-28,2019 - 2020,High school diplomas: State Seal of STEM.,Obernolte,Vetoed
AB-28,2021 - 2022,Hate crimes.,Chau,Assembly - Second Reading
AB-29,2009 - 2010,Health care coverage.,Price,Assembly - Died - Appropriations
ABX3-29,2009 - 2010,Unemployment insurance.,Coto,Chaptered
ABX4-29,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
ABX8-29,2009 - 2010,Budget Act of 2009.,Committee on Budget,Assembly - Died
AB-29,2011 - 2012,Governor’s Office of Business and Economic Development.,John A. Pérez,Chaptered
ABX1-29,2011 - 2012,State responsibility areas: fire prevention fees.,Blumenfield,Chaptered
AB-29,2013 - 2014,Proposition 39: implementation.,Williams,Assembly - Died - Utilities and Commerce
AB-29,2015 - 2016,Prisoners: credits reducing period of confinement: rape of an unconscious person.,Campos,Senate - Died - Human Services
AB-29,2017 - 2018,Pharmacy benefit managers.,Nazarian,Assembly - Died - Appropriations
AB-29,2019 - 2020,State Highway Route 710.,Holden,Chaptered
AB-29,2021 - 2022,State bodies: meetings.,Cooper,Assembly - Appropriations
AB-30,2009 - 2010,Elections: voter registration.,Price,Chaptered
ABX3-30,2009 - 2010,Gasoline: vapor recovery systems.,Garrick,Assembly - Died
ABX4-30,2009 - 2010,Transportation finance: Highway Users Tax Account.,Committee on Budget,Assembly - Died
ABX8-30,2009 - 2010,Budget Act of 2009.,Committee on Budget,Assembly - Died
AB-30,2011 - 2012,Health facilities: security plans.,Hayashi,Assembly - Died - Appropriations
ABX1-30,2011 - 2012,Budget Act of 2011: revisions.,Blumenfield,Chaptered
AB-30,2013 - 2014,Water quality.,Perea,Chaptered
AB-30,2015 - 2016,School or athletic team names: California Racial Mascots Act.,Alejo,Chaptered
AB-30,2017 - 2018,Environmental quality: judicial review: strip mall conversion housing projects.,Caballero,Assembly - Died - Natural Resources
AB-30,2019 - 2020,Community colleges: College and Career Access Pathways partnerships.,Holden,Chaptered
AB-30,2021 - 2022,Outdoor access to nature: environmental equity.,Kalra,Assembly - Appropriations
AB-31,2009 - 2010,Public contracts: Small Business Procurement and Contract Act.,Price,Chaptered
ABX3-31,2009 - 2010,Economic stimulus.,Bass,Assembly - Died
ABX4-31,2009 - 2010,Sales and use taxes: exemption: automobile manufacturing equipment.,Torrico,Assembly - Died
ABX8-31,2009 - 2010,Disaster relief: County of Los Angeles.,Portantino,Assembly - Died
AB-31,2011 - 2012,Land use: high-speed rail: local master plan.,Beall,Assembly - Died - Local Government
ABX1-31,2011 - 2012,Redevelopment.,Charles Calderon,Assembly - Died
AB-31,2013 - 2014,Milk products: milk prices: dairy industry sustainability.,Pan,Assembly - Died - Appropriations
AB-31,2015 - 2016,Members of the Legislature and Congress: domicile: voting fraud.,Cristina Garcia,Assembly - Died - Elections and Redistricting
AB-31,2017 - 2018,Whistleblowers: California State Auditor.,Rodriguez,Chaptered
AB-31,2019 - 2020,Sales and use taxes: exemption: menstrual hygiene products.,Cristina Garcia,Senate - Died - Governance and Finance
AB-31,2021 - 2022,Office of the Child Protection Ombudsperson.,Lackey,Assembly - Appropriations
AB-32,2009 - 2010,Public officials: personal information.,Lieu,Chaptered
ABX3-32,2009 - 2010,School employees: layoff notices.,Silva,Assembly - Died - Education
ABX4-32,2009 - 2010,State parks: transfer: local governments.,Jeffries,Assembly - Died
ABX8-32,2009 - 2010,State Budget: key liabilities.,Nestande,Assembly - Died
AB-32,2011 - 2012,Office of Small Business Advocate: entrepreneurship.,Lara,"Assembly - Died - Jobs, Economic Development and the Economy"
ABX1-32,2011 - 2012,Education finance.,Blumenfield,Chaptered
AB-32,2013 - 2014,Insurance taxes: income taxes: credits: community development financial institution investments.,John A. Pérez,Chaptered
AB-32,2015 - 2016,Computer crimes.,Waldron,Chaptered
AB-32,2017 - 2018,California State Auditor.,Rodriguez,Chaptered
AB-32,2019 - 2020,"Detention facilities: private, for-profit administration services.",Bonta,Chaptered
AB-32,2021 - 2022,Telehealth.,Aguiar-Curry,Assembly - Appropriations
AB-33,2009 - 2010,Child abduction: sex offender identification.,Nava,Chaptered
ABX3-33,2009 - 2010,Energy: commission and department.,Villines,"Senate - Died - Energy, Utilities and Communications"
ABX4-33,2009 - 2010,Corrections: fire protection services.,Jeffries,Assembly - Died
ABX8-33,2009 - 2010,State employment: salary freeze.,Portantino,Assembly - Died
AB-33,2011 - 2012,County board of supervisors: vacancy: appointment.,Jeffries,Assembly - Died - Local Government
ABX1-33,2011 - 2012,Budget Act of 2011.,Blumenfield,Senate - Died - Budget and Fiscal Review
AB-33,2013 - 2014,Income taxes: credit: patent licensing.,Perea,Assembly - Died - Appropriations
AB-33,2015 - 2016,Electrical corporations: energy storage systems: long duration bulk energy storage resources.,Quirk,Chaptered
AB-33,2017 - 2018,2017 northern California wildfires.,Quirk,"Senate - Died - Energy, Utilities and Communications"
AB-33,2019 - 2020,State public retirement systems: divestiture from private prison companies.,Bonta,Assembly - Died - Public Employment and Retirement
AB-33,2021 - 2022,Energy Conservation Assistance Act of 1979: energy storage systems and transportation electrification infrastructure.,Ting,Assembly - Second Reading
AB-34,2009 - 2010,Reports of missing persons: Violent Crime Information Center.,Nava,Chaptered
ABX3-34,2009 - 2010,"American Recovery and Reinvestment Plan: energy activities, programs, or projects.",Bass,Assembly - Died
ABX4-34,2009 - 2010,State-owned motor vehicles.,Jeffries,Assembly - Died
ABX8-34,2009 - 2010,Income tax credit: qualified principal residence.,Jeffries,Assembly - Died
AB-34,2011 - 2012,Solid waste compost facilities: odor.,Williams,Assembly - Died - Appropriations
ABX1-34,2011 - 2012,State Controller: property tax postponement.,Blumenfield,Vetoed
AB-34,2013 - 2014,State historical resources.,Roger Hernández,Chaptered
AB-34,2015 - 2016,Medical cannabis.,Cooley,Assembly - Died - Appropriations
AB-34,2017 - 2018,Student financial aid: Children’s Savings Account Program.,Nazarian,Assembly - Died - Appropriations
AB-34,2019 - 2020,Pupils: bullying and harassment prevention information.,Ramos,Chaptered
AB-34,2021 - 2022,Broadband for All Act of 2022.,Muratsuchi,Assembly - Appropriations
AB-35,2009 - 2010,Education: career technical education and workforce development.,Furutani,Senate - Died - Appropriations
ABX3-35,2009 - 2010,Chino Valley Unified School District: minimum schoolday.,Hagman,Senate - Died - Appropriations
ABX4-35,2009 - 2010,State highways: relinquishment.,Jeffries,Assembly - Died
ABX8-35,2009 - 2010,Energy: California Alternative Energy and Advanced Transportation Financing Authority.,Blakeslee,Assembly - Died
AB-35,2011 - 2012,State property: 32nd District Agricultural Association.,Solorio,Senate - Died - Agriculture
ABX1-35,2011 - 2012,Budget Act of 2011.,Blumenfield,Senate - Died - Budget and Fiscal Review
AB-35,2013 - 2014,Deferred action for childhood arrivals.,Roger Hernández,Chaptered
AB-35,2015 - 2016,Income taxes: credits: low-income housing: allocation increase.,Chiu,Vetoed
AB-35,2017 - 2018,Residential and nonresidential buildings: energy savings program.,Quirk,Assembly - Died - Natural Resources
AB-35,2019 - 2020,Worker safety: blood lead levels: reporting.,Kalra,Chaptered
AB-35,2021 - 2022,Social media platforms: false information.,Chau,Assembly - Engrossing
AB-36,2009 - 2010,Public education: basic skills training.,Furutani,Assembly - Died - Higher Education
ABX3-36,2009 - 2010,Integrated waste management: transfer of authority.,Gaines,Assembly - Died
ABX4-36,2009 - 2010,The Lieutenant Governor.,Jeffries,Assembly - Died
ABX8-36,2009 - 2010,Emergency services: property insurance surcharge.,Ma,Assembly - Died
AB-36,2011 - 2012,Income and employment taxes: federal conformity: Health Care and Education Reconciliation Act of 2010.,Perea,Chaptered
ABX1-36,2011 - 2012,Vehicle license fees.,Solorio,Assembly - Died
AB-36,2013 - 2014,Probation officer: appointments.,Dahle,Assembly - Died - Public Safety
AB-36,2015 - 2016,Local government: federal surplus property.,Campos,Vetoed
AB-36,2017 - 2018,Eligible fuel cell electrical generating facilities: energy metering.,Nazarian,Assembly - In Desk Process
AB-36,2019 - 2020,Residential tenancies: rent control.,Bloom,Assembly - Died - Rules
AB-36,2021 - 2022,Design-build contracting: Town of Paradise,Gallagher,Assembly - Local Government
AB-37,2009 - 2010,Public postsecondary education: honorary degrees.,Furutani,Chaptered
ABX3-37,2009 - 2010,Budget Act of 2009.,Evans,Chaptered
ABX8-37,2009 - 2010,Environment: California Environmental Quality Act (CEQA).,Charles Calderon,Assembly - Died
AB-37,2011 - 2012,Smart grid deployment: smart meters.,Huffman,Assembly - Died - Utilities and Commerce
ABX1-37,2011 - 2012,Electrical restructuring: electrical resource adequacy: renewable energy resources.,Williams,Assembly - Died - Utilities and Commerce
AB-37,2013 - 2014,Unemployment insurance: reporting requirements: status of funds.,Perea,Senate - Died
AB-37,2015 - 2016,Libraries: 3D printers.,Campos,Assembly - Died - Judiciary
AB-37,2017 - 2018,Pupil instruction: visual and performing arts: content standards in media arts.,O'Donnell,Chaptered
AB-37,2019 - 2020,Personal income taxes: deductions: business expenses: commercial cannabis activity.,Jones-Sawyer,Chaptered
AB-37,2021 - 2022,Elections: vote by mail ballots.,Berman,Assembly - Appropriations
AB-38,2009 - 2010,Postsecondary education: resident classification: veterans.,Salas,Assembly - Died - Appropriations
ABX3-38,2009 - 2010,Budget Act of 2009.,Evans,Assembly - Died
ABX8-38,2009 - 2010,Joinder: representative actions.,Audra Strickland,Assembly - Died
AB-38,2011 - 2012,Banking: underserved communities.,Bradford,Vetoed
ABX1-38,2011 - 2012,State finance.,Halderman,Assembly - Died
AB-38,2013 - 2014,The Office of Farm to Fork.,John A. Pérez,Assembly - Died - Appropriations
AB-38,2015 - 2016,Mental health: Early Diagnosis and Preventive Treatment Program.,Eggman,Chaptered
AB-38,2017 - 2018,Student loan servicers: licensing and regulation: Student Loan Servicing Act.,Mark Stone,Chaptered
AB-38,2019 - 2020,Fire safety: low-cost retrofits: regional capacity review: wildfire mitigation.,Wood,Chaptered
AB-38,2021 - 2022,Statewide bail schedule.,Cooper,Assembly - Failed Passage in Committee
AB-39,2009 - 2010,Sacramento-San Joaquin Delta: Delta Plan.,Huffman,Legislature - Died
ABX3-39,2009 - 2010,VLF state parks fee: fuel taxes: emergency services surcharge: cigarettes and other tobacco products tax: oil severance tax.,Evans,Senate - Died
ABX8-39,2009 - 2010,Transportation: general obligation bonds: letters of no prejudice.,Solorio,Assembly - Died
AB-39,2011 - 2012,Special education: funding.,Beall,Assembly - Died - Education
ABX1-39,2011 - 2012,California State University and University of California: compensation.,Roger Hernández,Assembly - Died
AB-39,2013 - 2014,Medi-Cal: designated public hospitals.,Skinner,Senate - Died - Rules
AB-39,2015 - 2016,Search warrants: electronic submission.,Medina,Chaptered
AB-39,2017 - 2018,Hate crimes.,Bocanegra,Assembly - Died - Appropriations
AB-39,2019 - 2020,Education finance: local control funding formula: aspirational funding level: reports.,Muratsuchi,Senate - Died
AB-39,2021 - 2022,California-China Climate Institute.,Chau,Assembly - Second Reading
AB-40,2009 - 2010,Water: reasonable use: electrical generation facilities.,Smyth,"Senate - Died - Energy, Utilities and Communications"
ABX3-40,2009 - 2010,Fuel user fee: vehicle fees.,Evans,Senate - Died
ABX8-40,2009 - 2010,Civil actions: damages.,Niello,Assembly - Died
AB-40,2011 - 2012,Elder and dependent adult abuse: reporting.,Yamada,Chaptered
ABX1-40,2011 - 2012,Income taxes: exclusions: deductions: sales: single sales factor: sales and use taxes: manufacturing exemption.,Fuentes,Senate - Died - Rules
AB-40,2013 - 2014,Substance abuse: recovery and treatment facilities.,Mansoor,Assembly - Died - Appropriations
AB-40,2015 - 2016,Toll bridges: pedestrians and bicycles.,Ting,Chaptered
AB-40,2017 - 2018,CURES database: health information technology system.,Santiago,Chaptered
AB-40,2019 - 2020,Air Quality Improvement Program: Clean Vehicle Rebate Project.,Ting,Assembly - Died - Transportation
AB-40,2021 - 2022,Political Reform Act of 1974: slate mailers.,Lorena Gonzalez,Assembly - Second Reading
AB-41,2009 - 2010,Insurance: community development investments.,Solorio,Chaptered
ABX3-41,2009 - 2010,Natural Resources.,Evans,Assembly - Died
ABX8-41,2009 - 2010,Taxation: Oil Industry Fair Share Act.,Nava,Assembly - Died
AB-41,2011 - 2012,High-Speed Rail Authority: conflicts of interest: disqualification.,Hill,Chaptered
ABX1-41,2011 - 2012,Vehicle license fees.,Solorio,Assembly - Died
AB-41,2013 - 2014,School facilities.,Buchanan,Assembly - Died - Education
AB-41,2015 - 2016,Health care coverage: discrimination.,Chau,Assembly - Died - Appropriations
AB-41,2017 - 2018,DNA evidence.,Chiu,Chaptered
AB-41,2019 - 2020,Disaster relief: Camp Fire.,Gallagher,Senate - Died - Appropriations
AB-41,2021 - 2022,Broadband infrastructure deployment.,Wood,Assembly - Appropriations
AB-42,2009 - 2010,Electricity: Pacific Gas and Electric Company: seismic fault.,Blakeslee,Vetoed
ABX3-42,2009 - 2010,Education finance.,Evans,Assembly - Died
ABX8-42,2009 - 2010,Firefighting.,Jeffries,Assembly - Died
AB-42,2011 - 2012,State parks.,Huffman,Chaptered
ABX1-42,2011 - 2012,Fire suppression: state prison inmate fire crews: reimbursement of costs.,Jeffries,Assembly - Died
AB-42,2013 - 2014,Taxation: cancellation of indebtedness: mortgage debt forgiveness.,Perea,Assembly - Died - Appropriations
AB-42,2015 - 2016,Public postsecondary education: funding and mandatory fees.,Kim,Assembly - Died - Higher Education
AB-42,2017 - 2018,Bail: pretrial release.,Bonta,Assembly - Died
AB-42,2019 - 2020,Disaster relief: County of Butte: Camp Fire.,Gallagher,Assembly - Died
AB-42,2021 - 2022,Unemployment insurance: advisory committee on unemployment insurance.,Lackey,Assembly - Insurance
AB-43,2009 - 2010,California Earthquake Authority: employees.,Blakeslee,Vetoed
ABX3-43,2009 - 2010,Human Services.,Evans,Assembly - Died
ABX8-43,2009 - 2010,Public assistance: home visits.,Audra Strickland,Assembly - Died
AB-43,2011 - 2012,Medi-Cal: eligibility.,Monning,Senate - Died
ABX1-43,2011 - 2012,Local government finance: vehicle license fee adjustments: County of Orange.,Solorio,Senate - Died
AB-43,2013 - 2014,Sales and use taxes: claim for refund: customer refunds.,Bocanegra,Senate - Died - Appropriations
AB-43,2015 - 2016,Personal income taxes: credit: earned income.,Mark Stone,Senate - Died - Appropriations
AB-43,2017 - 2018,Taxation: prison contracts: goods and services.,Thurmond,Assembly - Died - Appropriations
AB-43,2019 - 2020,Mental health.,Gloria,Senate - Died - Appropriations
AB-43,2021 - 2022,Traffic safety.,Friedman,Assembly - Appropriations
AB-44,2009 - 2010,Improvement Act of 1911: contractual assessments.,Blakeslee,Chaptered
ABX3-44,2009 - 2010,Health.,Evans,Assembly - Died
AB-44,2011 - 2012,Inmates: release: notification.,Logue,Chaptered
ABX1-44,2011 - 2012,Local government finance: vehicle license fee revenues: allocations.,Charles Calderon,Assembly - Died
AB-44,2013 - 2014,Subletting and Subcontracting Fair Practices Act: bidding practices.,Buchanan,Chaptered
AB-44,2015 - 2016,Elections: statewide recounts.,Mullin,Chaptered
AB-44,2017 - 2018,Workers’ compensation: medical treatment: terrorist attacks: workplace violence.,Reyes,Chaptered
AB-44,2019 - 2020,Fur products: prohibition.,Friedman,Chaptered
AB-44,2021 - 2022,Real estate licensees.,Petrie-Norris,Assembly - Business and Professions
AB-45,2009 - 2010,Distributed generation: small wind energy systems.,Blakeslee,Chaptered
ABX3-45,2009 - 2010,Budget Act of 2009.,Evans,Assembly - Died
AB-45,2011 - 2012,Charter-party carriers of passengers: alcoholic beverages: open containers.,Hill,Chaptered
ABX1-45,2011 - 2012,State responsibility areas: fire prevention fees.,Jeffries,Assembly - Died
AB-45,2013 - 2014,Political Reform Act of 1974.,Dickinson,Senate - Died - Elections and Constitutional Amendments
AB-45,2015 - 2016,Household hazardous waste.,Mullin,Senate - Died - Environmental Quality
AB-45,2017 - 2018,California School Employee Housing Assistance Grant Program.,Thurmond,Assembly - In Desk Process
AB-45,2019 - 2020,Inmates: medical care: fees.,Mark Stone,Chaptered
AB-45,2021 - 2022,Industrial hemp products.,Aguiar-Curry,Assembly - Health
AB-46,2009 - 2010,Elections: official canvass: manual tally.,Monning,Chaptered
ABX3-46,2009 - 2010,State government.,Evans,Assembly - Died
AB-46,2011 - 2012,Local government: cities.,John A. Pérez,Senate - Failed
ABX1-46,2011 - 2012,Redevelopment agencies: public improvement projects.,Charles Calderon,Assembly - Died
AB-46,2013 - 2014,California State University: online education.,Pan,Vetoed
AB-46,2015 - 2016,Controlled substances.,Lackey,Assembly - Died - Appropriations
AB-46,2017 - 2018,Employers: wage discrimination.,Cooper,Chaptered
AB-46,2019 - 2020,Individuals with mental illness: change of term.,Carrillo,Chaptered
AB-46,2021 - 2022,California Youth Empowerment Act.,Luz Rivas,Assembly - Appropriations
AB-47,2009 - 2010,Income taxes: credit: adoption costs.,Ma,Assembly - Died - Appropriations
ABX3-47,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-47,2011 - 2012,Schools: open enrollment.,Huffman,Vetoed
AB-47,2013 - 2014,Emergency services: hit-and-run incidents.,Gatto,Vetoed
AB-47,2015 - 2016,State preschool program.,McCarty,Vetoed
AB-47,2017 - 2018,Budget Act of 2016.,Ting,Assembly - Died - Budget
AB-47,2019 - 2020,Driver records: points: distracted driving.,Daly,Chaptered
AB-47,2021 - 2022,Human services: coordinated immigration support services.,Reyes,Assembly - Appropriations
AB-48,2009 - 2010,Private postsecondary education: California Private Postsecondary Education Act of 2009.,Portantino,Chaptered
ABX3-48,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-48,2011 - 2012,Teachers: best practices teacher evaluation.,John A. Pérez,Assembly - Died - Appropriations
AB-48,2013 - 2014,Firearms: large-capacity magazines.,Skinner,Chaptered
AB-48,2015 - 2016,Cigarettes: single-use filters.,Mark Stone,Assembly - Died - Governmental Organization
AB-48,2017 - 2018,Local government finance: property tax revenue allocations: vehicle license fee adjustments.,Ting,Assembly - Died - Budget
AB-48,2019 - 2020,"Education finance: school facilities: Public Preschool, K-12, and College Health and Safety Bond Act of 2020.",O'Donnell,Chaptered
AB-48,2021 - 2022,Law enforcement: kinetic energy projectiles and chemical agents.,Lorena Gonzalez,Assembly - Appropriations
AB-49,2009 - 2010,Water conservation: urban and agricultural water management planning.,Feuer,Legislature - Died
ABX3-49,2009 - 2010,Budget Act of 2009.,Evans,Senate - Died
AB-49,2011 - 2012,Development: expedited permit review.,Gatto,Assembly - Died - Appropriations
AB-49,2013 - 2014,License plates: breast cancer awareness.,Buchanan,Chaptered
AB-49,2015 - 2016,Livestock drugs: antibiotics.,Mullin,Assembly - Died
AB-49,2017 - 2018,Budget Act of 2016.,Ting,Assembly - Died - Budget
AB-49,2019 - 2020,California Voter Protection Act of 2019.,Cervantes,Chaptered
